Name,Phone,Distrib,Date,Bio,LatLong
Herrod,08 06 50 62 30,-0.332150599,03/27/2014,"Lorem ipsum dolor sit amet,","-0.61443, -23.02336"
Tanner,06 81 13 28 10,0.286899351,10/05/2013,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","46.2592, -162.09434"
Caleb,03 97 91 75 01,0.042769136,10/30/2013,Lorem ipsum dolor sit,"63.50204, -54.98635"
Ashton,08 90 41 45 52,0.343390456,04/26/2014,Lorem ipsum,"3.55198, 72.02613"
Hasad,05 28 71 97 91,-0.100094364,06/28/2013,Lorem,"-29.02359, -38.90306"
Samson,08 09 65 98 90,0.167629314,05/22/2013,"Lorem ipsum dolor sit amet, consectetuer adipiscing","-89.90272, -3.48924"
Rigel,02 09 56 58 89,-0.058139616,10/02/2013,Lorem ipsum dolor sit,"53.40208, -76.26815"
Beck,08 12 78 19 90,0.080360916,01/13/2013,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","3.37864, -162.67564"
Yasir,09 45 92 49 82,-0.010470574,12/14/2012,Lorem ipsum,"20.39746, 105.58057"
Vance,03 65 75 47 84,0.226967328,04/04/2013,"Lorem ipsum dolor sit amet, consectetuer","-1.3033, 132.72484"
Yoshio,07 38 92 89 08,-0.324146625,03/07/2013,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","35.25808, 130.32008"
Hyatt,04 76 87 51 84,-0.111854812,05/20/2013,Lorem ipsum dolor sit,"63.92378, -4.71262"
Keith,01 11 49 99 59,0.331613972,04/19/2014,"Lorem ipsum dolor sit amet, consectetuer adipiscing","40.39677, 3.12989"
Tanek,08 61 65 24 37,0.207734042,09/29/2013,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","54.54467, 170.19673"
Carson,04 69 98 83 14,-0.014236441,06/26/2013,"Lorem ipsum dolor sit amet,","12.74855, 58.62675"
Ezekiel,05 82 57 84 46,-0.150705767,03/11/2014,Lorem ipsum dolor sit,"76.05383, 155.22781"
Benjamin,08 96 04 07 21,-0.44344335,10/23/2012,Lorem ipsum,"-52.9658, -99.46715"
Wayne,02 07 94 94 82,-0.153359096,10/26/2013,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","-31.09932, 65.03394"
Oliver,06 45 39 00 21,-0.124759412,01/18/2014,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","15.4999, -149.00924"
Cedric,07 06 78 99 98,0.317552905,08/02/2013,Lorem,"10.79427, 118.54051"
Barclay,06 05 54 48 41,-0.043824823,10/05/2012,"Lorem ipsum dolor sit amet,","27.23905, 69.15285"
Steven,07 87 79 98 81,0.071079611,12/05/2012,"Lorem ipsum dolor sit amet, consectetuer adipiscing","20.11026, 101.63264"
Tobias,08 37 73 75 38,0.244297913,07/11/2013,Lorem ipsum dolor,"-12.94553, -89.27657"
Hop,04 79 76 39 12,-0.083768671,09/22/2012,"Lorem ipsum dolor sit amet, consectetuer adipiscing","-73.7623, 155.31883"
Zeph,01 39 02 81 87,-0.048718062,06/05/2013,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","6.33117, 13.00388"
Chadwick,05 74 12 89 43,0.251301732,04/28/2014,Lorem ipsum dolor sit,"49.78697, 11.1257"
Donovan,03 09 60 19 61,0.249673469,09/28/2013,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","70.38514, 82.77524"
Alden,01 92 81 05 12,0.144622699,12/13/2012,Lorem,"77.26522, -4.88558"
Ryan,07 11 61 69 49,0.287016206,01/05/2013,Lorem ipsum dolor,"80.04813, -156.44402"
Kane,09 95 08 21 82,-0.52184061,12/29/2013,Lorem ipsum,"7.92313, 91.66258"
Perry,05 08 55 08 68,-0.013411392,03/25/2014,"Lorem ipsum dolor sit amet, consectetuer","71.30981, -10.48673"
Reed,09 29 62 45 59,-0.249211427,06/08/2014,"Lorem ipsum dolor sit amet,","-45.63389, -13.42171"
Isaiah,06 43 85 10 69,-0.151239111,09/08/2013,"Lorem ipsum dolor sit amet, consectetuer adipiscing","-30.59943, -19.21088"
Nasim,08 22 80 97 67,-0.04433226,12/01/2012,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","-35.23291, -109.53643"
Sylvester,07 31 18 61 21,-0.292397843,01/04/2013,"Lorem ipsum dolor sit amet, consectetuer adipiscing","-57.27016, -29.20936"
Lucian,05 41 65 85 15,0.130763787,12/17/2012,"Lorem ipsum dolor sit amet,","57.30718, -28.42906"
Graham,08 24 70 15 79,-0.363931625,12/27/2013,Lorem ipsum dolor,"83.19902, 74.55487"
Abbot,01 38 74 08 16,-0.029572992,05/03/2013,Lorem ipsum dolor,"-45.36544, 57.52557"
Kuame,08 91 75 32 97,-0.189750554,11/21/2012,Lorem ipsum,"67.1735, -71.79179"
Conan,03 92 34 93 69,0.009315516,08/08/2013,"Lorem ipsum dolor sit amet,","-21.25907, 97.74255"
Yasir,07 14 89 55 21,0.137614346,04/02/2014,Lorem ipsum dolor sit,"1.60789, 83.71151"
Bruce,03 06 63 64 58,0.255818386,04/18/2014,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","6.72043, 56.61235"
Hayden,01 08 03 59 75,0.520952952,11/21/2012,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","-67.7936, 129.27918"
Theodore,09 58 40 05 41,0.288981628,09/09/2013,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","-47.72714, 58.40479"
Jeremy,08 58 40 42 78,-0.373938841,12/09/2013,Lorem ipsum dolor sit,"82.62265, 69.74389"
Solomon,07 42 23 07 19,-0.179071707,07/01/2013,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","-74.10948, 110.1792"
Malik,07 17 77 19 66,0.13780159,01/09/2013,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","-18.57841, 86.22683"
Dennis,05 13 94 18 80,0.111140356,11/16/2013,"Lorem ipsum dolor sit amet, consectetuer","-79.50902, 5.43977"
Dalton,03 86 35 72 33,0.149553455,09/15/2012,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","-23.80782, -130.10089"
Jack,02 72 26 99 42,0.149191582,07/24/2012,"Lorem ipsum dolor sit amet,","-53.15649, -63.52572"
Kenyon,06 40 72 97 71,-0.141486082,08/15/2013,Lorem,"30.41654, -142.80418"
Kuame,08 31 55 59 59,0.213041605,03/29/2014,Lorem,"69.02345, -165.33202"
Dillon,03 29 22 34 69,-0.044048853,05/08/2014,Lorem,"73.28728, 159.56285"
Brian,09 73 95 10 57,0.465008295,12/19/2012,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","29.05394, 125.67564"
Tobias,09 34 42 04 33,0.048580725,10/15/2013,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","-39.53946, -77.39732"
Knox,03 98 64 55 46,-0.323639334,03/11/2014,"Lorem ipsum dolor sit amet, consectetuer","67.94579, 136.6857"
Clayton,01 47 15 39 32,0.228954399,03/03/2013,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","-44.37926, 9.77791"
Nissim,07 49 78 30 69,0.1077738,03/28/2013,Lorem ipsum dolor sit,"22.44348, -117.25956"
Kasper,07 99 25 48 06,-0.367439065,12/25/2013,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","85.01618, 24.85273"
Jerry,04 00 60 49 91,-0.2135053,09/04/2012,"Lorem ipsum dolor sit amet, consectetuer adipiscing","3.26462, -156.5595"
Grady,02 32 44 83 74,0.049178557,06/08/2014,Lorem,"67.51873, -61.95118"
Myles,04 22 81 24 07,0.23955901,06/28/2013,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","35.94094, -152.73334"
Bevis,08 41 24 13 05,-0.241882258,10/18/2012,"Lorem ipsum dolor sit amet,","63.35463, -119.53794"
Hall,08 98 72 51 22,-0.174526848,01/26/2013,"Lorem ipsum dolor sit amet, consectetuer","-28.87086, 77.21673"
John,05 46 78 65 67,-0.340078116,02/26/2014,"Lorem ipsum dolor sit amet,","31.22678, -86.87756"
Bruce,09 65 10 66 50,0.266870903,06/15/2014,"Lorem ipsum dolor sit amet, consectetuer","46.80729, 130.96521"
Hamish,08 26 44 97 04,-0.265833958,05/03/2014,Lorem ipsum dolor,"-78.11615, -88.95727"
